src_ip,dst_ip,src_port,dst_port,protocol,outbound_byte_ratio,duration,packets_per_second,bytes_per_second,inter_packet_arrival_mean,inter_packet_arrival_std,total_packets,total_bytes,packet_size_avg,packet_size_std,Label,Attack,scenario,split,dataset_id,row_in_window,is_seeded_ddos,burst_id,burst_phase,source_dataset
59.166.0.3,149.171.126.2,40413,21,TCP,0.583139,0.008,6000,375125,0,0,48,3001,62.520833,0,0,Benign,attack,train,1,0,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.9,9873,38306,TCP,0.934565,0.124,1064.516129,481887.096774,1,2,132,59754,452.681818,552.720619,0,Benign,attack,train,1,1,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.7,37999,8344,TCP,0.895888,0.085,964.705882,287247.058824,1.512195,3.582627,82,24416,297.756098,458.595034,0,Benign,attack,train,1,2,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.2,1078,48047,TCP,0.852941,0.046,304.347826,47304.347826,7.714286,16.845638,14,2176,155.428571,246.348683,0,Benign,attack,train,1,3,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.7,48244,21,TCP,0.579318,0.28,200,12675,11.482143,23.492773,56,3549,63.375,0,0,Benign,attack,train,1,4,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.1,20123,111,UDP,0.348624,0.004,2000,218000,1,1,8,872,109,64,0,Benign,attack,train,1,5,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.6,42317,25,TCP,0.0833,0.027,3481.481481,1502814.814815,0,0.743768,94,40576,431.659574,522.155787,0,Benign,attack,train,1,6,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.3,56314,62335,TCP,0.891513,0.012,6833.333333,2032500,0,0,82,24390,297.439024,458.595034,0,Benign,attack,train,1,7,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.4,63919,6881,TCP,0.516332,0.018,1888.888889,176888.888889,0,1.552986,34,3184,93.647059,103.100717,0,Benign,attack,train,1,8,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.8,9959,21,TCP,0.642466,0.002,6000,365000,0,0,12,730,60.833333,0,0,Benign,attack,train,1,9,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.8,22034,1691,TCP,0.898776,0.025,3440,1051920,0,1,86,26298,305.790698,468.918759,0,Benign,attack,train,1,10,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.5,5617,53,UDP,0.549383,0.001,4000,324000,0,0,4,324,81,0,0,Benign,attack,train,1,11,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.2,54728,53,UDP,0.549383,0.001,4000,324000,0,0,4,324,81,0,0,Benign,attack,train,1,12,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.2,34462,41397,TCP,0.89205,0.01,8200,2354800,0,0,82,23548,287.170732,452.422884,0,Benign,attack,train,1,13,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.8,4634,80,TCP,0.865509,1.379,21.754895,8519.216824,107,325.371787,30,11748,391.6,466.754754,0,Benign,attack,train,1,14,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.2,6451,21,TCP,0.575601,0.772,113.989637,7273.316062,15,51.320295,88,5615,63.806818,0,0,Benign,attack,train,1,15,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.1,27371,25196,TCP,0.939609,0.132,1106.060606,531636.363636,1,2,146,70176,480.657534,566.067013,0,Benign,attack,train,1,16,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.8,63680,53,UDP,0.554795,0.001,4000,292000,0,0,4,292,73,0,0,Benign,attack,train,1,17,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.8,149.171.126.6,11221,111,UDP,0.354545,0.005,1600,176000,1,1,8,880,110,64,0,Benign,attack,train,1,18,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.2,25496,23492,TCP,0.916924,0.022,4454.545455,1618454.545455,0,0,98,35606,363.326531,504.900177,0,Benign,attack,train,1,19,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.6,58526,46019,TCP,0.034602,0.223,89.686099,41470.852018,35.6,62.783278,20,9248,462.4,552.200371,0,Benign,attack,train,1,20,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.6,23546,80,TCP,0.44206,0.004,4500,466000,0,0,18,1864,103.555556,103.539341,0,Benign,attack,train,1,21,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.6,5894,21,TCP,0.575601,3.237,27.185666,1734.630831,118.465909,318.922011,88,5615,63.806818,0,0,Benign,attack,train,1,22,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.9,27264,80,TCP,0.865509,1.004,29.880478,11701.195219,77.8,267.904386,30,11748,391.6,466.754754,0,Benign,attack,train,1,23,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.8,2390,111,UDP,0.348624,0.004,2000,218000,0.5,0.866025,8,872,109,64,0,Benign,attack,train,1,24,0,,,NF-UNSW-NB15-v3-Benign
149.171.126.12,175.45.176.0,1043,53,UDP,0,0.001,1000,132000,0,0,1,132,132,0,0,Benign,attack,train,1,25,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.1,149.171.126.7,3058,52855,TCP,0.870529,0.009,7777.777778,1913777.777778,0,0,70,17224,246.057143,421.662163,0,Benign,attack,train,1,26,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.9,50459,21,TCP,0.5846,1.305,72.796935,4587.739464,27.526316,55.447812,95,5987,63.021053,0,0,Benign,attack,train,1,27,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.5,33413,4441,TCP,0.935112,0.138,1000,448260.869565,1,2,138,61860,448.26087,543.402526,0,Benign,attack,train,1,28,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.5,149.171.126.4,15351,13691,UDP,0.365385,0.023,347.826087,36173.913043,4.5,7.794229,8,832,104,55.425626,0,Benign,attack,train,1,29,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.4,57836,24154,TCP,0.869178,0.008,8750,2130750,0,0,70,17046,243.514286,421.662163,0,Benign,attack,train,1,30,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.1,49552,42265,TCP,0.954152,0.004,5000,2312000,0,0,20,9248,462.4,552.200371,0,Benign,attack,train,1,31,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.4,149.171.126.6,26571,60842,TCP,0.398139,0.352,164.772727,21977.272727,11.517241,19.00657,58,7736,133.37931,141.688946,0,Benign,attack,train,1,32,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.4,30478,53,UDP,0.549383,0.001,4000,324000,0,0,4,324,81,0,0,Benign,attack,train,1,33,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.7,18883,36304,TCP,0.89633,0.015,5600,1634666.666667,0,0,84,24520,291.904762,454.375241,0,Benign,attack,train,1,34,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.6,149.171.126.9,32127,52048,TCP,0.940107,0.097,1752.57732,836886.597938,0,1,170,81178,477.517647,558.410341,0,Benign,attack,train,1,35,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.7,149.171.126.3,10251,8062,TCP,0.945236,0.046,4217.391304,2177739.130435,0,0,194,100176,516.371134,568.27162,0,Benign,attack,train,1,36,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.0,149.171.126.3,58069,21,TCP,0.583417,0.867,55.363322,3463.66782,29.958333,60.974707,48,3003,62.5625,0,0,Benign,attack,train,1,37,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.4,51342,21,TCP,0.642466,0.05,240,14600,10.25,14.077908,12,730,60.833333,0,0,Benign,attack,train,1,38,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.2,149.171.126.4,40613,38621,TCP,0.932073,0.023,5304.347826,2313217.391304,0,0,122,53204,436.098361,549.575916,0,Benign,attack,train,1,39,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.3,149.171.126.3,3366,1033,TCP,0.034602,0.223,89.686099,41470.852018,35.6,62.783278,20,9248,462.4,552.200371,0,Benign,attack,train,1,40,0,,,NF-UNSW-NB15-v3-Benign
59.166.0.9,149.171.126.9,6209,5137,TCP,0.929601,0.132,924.242424,388909.090909,1,3,122,51336,420.786885,521.452098,0,Benign,attack,train,1,41,0,,,NF-UNSW-NB15-v3-Benign
